Type,percent,gender
INTJ,3.3,Female
INTP,4.8,Female
ENTJ,2.7,Female
ENTP,4,Female
INFJ,1.2,Female
INFP,4.1,Female
ENFJ,1.6,Female
ENFP,6.4,Female
ISTJ,16.4,Female
ISFJ,8.1,Female
ESTJ,11.2,Female
ESFJ,7.55,Female
ISTP,8.5,Female
ISFP,7.6,Female
ESTP,5.65,Female
ESFP,6.9,Female
INTJ,0.9,Male
INTP,1.7,Male
ENTJ,0.9,Male
ENTP,2.4,Male
INFJ,1.6,Male
INFP,4.6,Male
ENFJ,3.35,Male
ENFP,9.7,Male
ISTJ,6.9,Male
ISFJ,19.4,Male
ESTJ,6.3,Male
ESFJ,16.9,Male
ISTP,2.35,Male
ISFP,9.9,Male
ESTP,3,Male
ESFP,10.1,Male
